family,arm,plant,time_s,online_seconds,fallback,delay_state_relative_error
T1,MPC,nominal,0,160.1342248590663,False,0.0
T1,MPC,nominal,200,159.5869861440733,False,0.0
T1,MPC,nominal,400,159.58613073825836,False,0.0
T1,MPC,nominal,600,159.5861010570079,False,0.0
T1,MPC,nominal,800,159.49431166239083,False,0.0
T1,MPC,nominal,1000,159.51726202201098,False,0.0
T1,MPC,nominal,1200,159.5471200477332,False,0.0
T1,MPC,nominal,1400,159.5561922751367,False,0.0
T1,MPC,nominal,1600,159.49652695748955,False,0.0
T1,lookup,nominal,0,0.17914491333067417,False,
T1,lookup,nominal,200,0.16063700523227453,False,
T1,lookup,nominal,400,0.14565244875848293,False,
T1,lookup,nominal,600,0.15299142152071,False,
T1,lookup,nominal,800,0.1449465649202466,False,
T1,lookup,nominal,1000,0.15271429624408484,False,
T1,lookup,nominal,1200,0.14201870746910572,False,
T1,lookup,nominal,1400,0.14441059343516827,False,
T1,lookup,nominal,1600,0.15514695085585117,False,
T2,MPC,nominal,0,160.04830447491258,False,0.0
T2,MPC,nominal,200,159.48535519000143,False,0.0
T2,MPC,nominal,400,159.50109170377254,False,0.0
T2,MPC,nominal,600,159.56171032506973,False,0.0
T2,MPC,nominal,800,159.57049568835646,False,0.0
T2,MPC,nominal,1000,159.41636472567916,False,0.0
T2,MPC,nominal,1200,159.47138729225844,False,0.0
T2,MPC,nominal,1400,159.48026474099606,False,0.0
T2,MPC,nominal,1600,159.5146349137649,False,0.0
T2,lookup,nominal,0,0.17430038005113602,False,
T2,lookup,nominal,200,0.15123416390269995,False,
T2,lookup,nominal,400,0.14038973208516836,False,
T2,lookup,nominal,600,0.1444551981985569,False,
T2,lookup,nominal,800,0.14069945085793734,False,
T2,lookup,nominal,1000,0.14048212300986052,False,
T2,lookup,nominal,1200,0.1397081185132265,False,
T2,lookup,nominal,1400,0.1405970547348261,False,
T2,lookup,nominal,1600,0.1403017770498991,False,
T1,MPC,refined,0,160.09132090769708,False,1.1048035261300735
T1,MPC,refined,200,159.56116864923388,False,1.2613210119342388
T1,MPC,refined,400,159.54330122098327,False,1.1126025627582257
T1,MPC,refined,600,159.57600874919444,False,0.9088072599870192
T1,MPC,refined,800,159.57667207252234,False,1.1085471856028692
T1,MPC,refined,1000,159.59059980977327,False,1.134613096033919
T1,MPC,refined,1200,159.57928384654224,False,0.903551184542002
T1,MPC,refined,1400,159.57299204729497,False,0.9892921147993827
T1,MPC,refined,1600,159.57755150366575,False,1.1198243351263024
